1,lawmaker britain must question gen pinochet about killings ,259, london (ap) an influential lawmaker from the governing labor party on saturday backed spanish requests to question former chilean dictator gen augusto pinochet in london for back surgery on allegations of genocide and terrorism ''there've been something like total of,C:\Users\rishi\Desktop\docs\docs\d30003t\APW19981017.0151
2,british police arrest pinochet on murder charges ,392, london (ap) british police said saturday they have arrested former chilean dictator gen augusto pinochet on allegations of murdering spanish citizens during his years in power pinochet 82 in london for surgery was held friday night after british authorities received,C:\Users\rishi\Desktop\docs\docs\d30003t\APW19981017.0306
3,british police arrest pinochet on murder charges ,561, london (ap) eight years after his turbulent regime ended former chilean strongman gen augusto pinochet is being called to account by spanish authorities for the deaths detention and torture of political opponents responding to spanish extradition warrant british police announced,C:\Users\rishi\Desktop\docs\docs\d30003t\APW19981017.0477
4,british police arrest pinochet on spanish warrant ,126, london (ap) former chilean dictator gen augusto pinochet has been arrested by british police on spanish extradition warrant despite protests from chile that he is entitled to diplomatic immunity two spanish judges are seeking to question pinochet about the slayings,C:\Users\rishi\Desktop\docs\docs\d30003t\APW19981017.0507
5,castro disagrees with arrest of pinochet ,338, oporto portugal (ap) president fidel castro said sunday he disagreed with the arrest in london of former chilean dictator augusto pinochet calling it case of ``international meddling.'' castro compared the action with the establishment in rome in august of an,C:\Users\rishi\Desktop\docs\docs\d30003t\APW19981018.0410
6,acceding to spain britain arrests former chilean leader augusto pinochet ,949, buenos aires argentina gen augusto pinochet who ruled chile as despot for 17 years has been arrested in london after spain asked that he be extradited for the presumed murders of hundreds of chilean and spanish citizens the british authorities,C:\Users\rishi\Desktop\docs\docs\d30003t\NYT19981017.0177
7,pinochet's arrest puts blair's government in tight spot ,543, london gen augusto pinochet the former chilean dictator arrested here at the request of spanish judge remained sequestered under police guard sunday awaiting potentially devastating court hearing to weigh his extradition on charges of genocide terrorism and murder british officials,C:\Users\rishi\Desktop\docs\docs\d30003t\NYT19981018.0098
8,maverick spanish judge's two year quest for pinochet's arrest ,766, paris stubbornly independent judge who more than once has challenged the spanish government baltasar garzon was ridiculed when he first set out to pursue the most notorious right wing generals in south america for human rights crimes committed in the,C:\Users\rishi\Desktop\docs\docs\d30003t\NYT19981018.0123
9,in santiago news of pinochet's arrest stirs only small protest ,617, santiago chile perhaps as sign of how much chileans wish to forget their years of polarized politics and repression under gen augusto pinochet the immediate popular response here to the sensational news of his arrest in london has been remarkable,C:\Users\rishi\Desktop\docs\docs\d30003t\NYT19981018.0160
10,accused officials have fewer places to hide ,549, washington the arrest of gen augusto pinochet shows the growing significance of international human rights law suggesting that officials accused of atrocities have fewer places to hide these days even if they are carrying diplomatic passports legal scholars say pinochet,C:\Users\rishi\Desktop\docs\docs\d30003t\NYT19981018.0185
